,ardrone_predictedPose__batteryPercent,ardrone_predictedPose__droneState,ardrone_predictedPose__dx,ardrone_predictedPose__dy,ardrone_predictedPose__dyaw,ardrone_predictedPose__dz,ardrone_predictedPose__pitch,ardrone_predictedPose__ptamState,ardrone_predictedPose__roll,ardrone_predictedPose__scale,ardrone_predictedPose__scaleAccuracy,ardrone_predictedPose__x,ardrone_predictedPose__y,ardrone_predictedPose__yaw,ardrone_predictedPose__z,vrpn_client_node_ardrone_pose__pose_orientation_w,vrpn_client_node_ardrone_pose__pose_orientation_x,vrpn_client_node_ardrone_pose__pose_orientation_y,vrpn_client_node_ardrone_pose__pose_orientation_z,vrpn_client_node_ardrone_pose__pose_position_x,vrpn_client_node_ardrone_pose__pose_position_y,vrpn_client_node_ardrone_pose__pose_position_z
2016-05-05 05:09:53.503646976,,,,,,,,,,,,,,,,0.998718857765,-0.0445807166398,0.0238663330674,0.00194306683261,-1.96575367451,0.0791049525142,0.472873240709
2016-05-05 05:51:26.395435776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.513858816,,,,,,,,,,,,,,,,0.99871224165,-0.0446791052818,0.0239588152617,0.00191161897965,-1.96575272083,0.0790917947888,0.472828000784
2016-05-05 05:51:26.428810240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.462092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.523054848,,,,,,,,,,,,,,,,0.998744606972,-0.0439470671117,0.0240054000169,0.0013367314823,-1.96560108662,0.0791286081076,0.472721725702
2016-05-05 05:51:26.495368448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.533307904,,,,,,,,,,,,,,,,0.998710513115,-0.0447258502245,0.0239401888102,0.00196499889717,-1.96577203274,0.0791291370988,0.472856134176
2016-05-05 05:51:26.529176320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.562065664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.543550720,,,,,,,,,,,,,,,,0.998700201511,-0.044923979789,0.0239915214479,0.00205802172422,-1.96577036381,0.0791164338589,0.472843825817
2016-05-05 05:09:53.543574784,,,,,,,,,,,,,,,,0.998699009418,-0.0449365004897,0.0240153558552,0.00209316634573,-1.96578168869,0.0790740549564,0.472857385874
2016-05-05 05:51:26.595415040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.553798144,,,,,,,,,,,,,,,,0.99870121479,-0.0448804274201,0.0240357909352,0.00199429225177,-1.96578967571,0.0791261568666,0.472871303558
2016-05-05 05:51:26.628689408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.662055424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.563016704,,,,,,,,,,,,,,,,0.998733699322,-0.0442102141678,0.0239499527961,0.00169644632842,-1.96569466591,0.0791355222464,0.472945660353
2016-05-05 05:51:26.695475712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.573286912,,,,,,,,,,,,,,,,0.998732805252,-0.0442045070231,0.0240020882338,0.00165090162773,-1.96569657326,0.0791172385216,0.472769409418
2016-05-05 05:51:26.728778496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.762109696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.583575296,,,,,,,,,,,,,,,,0.99870711565,-0.0447161123157,0.0240994021297,0.0019705875311,-1.96576666832,0.0791147351265,0.472894281149
2016-05-05 05:09:53.583584000,,,,,,,,,,,,,,,,0.998708844185,-0.0446840301156,0.024086099118,0.0019854514394,-1.96579420567,0.0790732130408,0.472903698683
2016-05-05 05:51:26.795438336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.593829120,,,,,,,,,,,,,,,,0.9987180233,-0.0444939807057,0.0240642856807,0.00190724467393,-1.96577870846,0.0791157856584,0.472912818193
2016-05-05 05:51:26.828761344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.862069504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.895435776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.613338624,,,,,,,,,,,,,,,,0.998760521412,-0.0435802266002,0.0240076240152,0.00137663539499,-1.9656482935,0.0791324228048,0.472914934158
2016-05-05 05:51:26.928704512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.962045440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.623547392,,,,,,,,,,,,,,,,0.998726010323,-0.0442940331995,0.0241122692823,0.00176989869215,-1.96566045284,0.079081222415,0.472854107618
